epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,9218.08,0.70145,0.48777,0.91182,0.9493,0.95195,0.95546,0.64673,1.16638,0.56762,1.22754,0.00028225,0.00028225,0.00028225
147,9282.58,0.70605,0.4677,0.94922,0.95902,0.95576,0.95387,0.65181,1.18172,0.56007,1.21767,0.0002773,0.0002773,0.0002773
148,9346.75,0.70099,0.46065,0.93024,0.96293,0.95266,0.95179,0.64956,1.19328,0.5559,1.24467,0.00027235,0.00027235,0.00027235
149,9409.95,0.65025,0.52816,0.84789,0.95829,0.95629,0.95262,0.64273,1.19806,0.5559,1.24233,0.0002674,0.0002674,0.0002674
150,9474.42,0.733,0.4649,0.90786,0.942,0.96292,0.96306,0.64533,1.19491,0.55207,1.23796,0.00026245,0.00026245,0.00026245
151,9537.82,0.73068,0.46297,0.92274,0.94149,0.95147,0.95144,0.64215,1.19394,0.55416,1.23792,0.0002575,0.0002575,0.0002575
152,9601.54,0.7187,0.4534,0.92126,0.95207,0.95338,0.95365,0.63999,1.19945,0.55812,1.24683,0.00025255,0.00025255,0.00025255
153,9666.78,0.64044,0.43777,0.89237,0.95612,0.95281,0.95533,0.64298,1.20773,0.5646,1.24422,0.0002476,0.0002476,0.0002476
154,9731.42,0.67127,0.48198,0.88445,0.94089,0.95581,0.95648,0.63851,1.22118,0.57874,1.27202,0.00024265,0.00024265,0.00024265
155,9797.95,0.69093,0.45989,0.91937,0.93597,0.95532,0.95548,0.6209,1.23992,0.58685,1.29712,0.0002377,0.0002377,0.0002377
156,9862.81,0.71983,0.45821,0.92398,0.95554,0.93445,0.95315,0.62988,1.21993,0.5721,1.27213,0.00023275,0.00023275,0.00023275
157,9927.87,0.77662,0.46575,0.92236,0.95765,0.94644,0.95203,0.63229,1.22154,0.56592,1.26173,0.0002278,0.0002278,0.0002278
158,9990.74,0.76093,0.48952,0.89278,0.95225,0.94832,0.95464,0.63659,1.23374,0.57394,1.25117,0.00022285,0.00022285,0.00022285
159,10054.2,0.70053,0.47387,0.91545,0.9422,0.95551,0.95252,0.63229,1.2272,0.58512,1.26104,0.0002179,0.0002179,0.0002179
160,10116.5,0.66545,0.46463,0.89091,0.94245,0.95538,0.95291,0.63404,1.23179,0.57294,1.24729,0.00021295,0.00021295,0.00021295
161,10179.3,0.62119,0.44421,0.88141,0.94478,0.9543,0.95454,0.63562,1.23132,0.56715,1.24113,0.000208,0.000208,0.000208
162,10242.7,0.76458,0.49589,0.95987,0.94553,0.94484,0.95763,0.6421,1.22424,0.55856,1.2645,0.00020305,0.00020305,0.00020305
163,10306.2,0.6974,0.43815,0.91125,0.94458,0.94329,0.95624,0.64097,1.21103,0.56127,1.27376,0.0001981,0.0001981,0.0001981
164,10371.3,0.66837,0.44976,0.88129,0.94403,0.94201,0.95035,0.61883,1.23473,0.57133,1.29392,0.00019315,0.00019315,0.00019315
